datetime,load_kw
 01/22  24:00:00,13.58461547487665
 01/23  01:00:00,16.002738920482273
 01/23  02:00:00,16.002738920482273
 01/23  03:00:00,16.002738920482273
 01/23  04:00:00,16.002738920482273
 01/23  05:00:00,16.002738920482273
 01/23  06:00:00,16.002738920482273
 01/23  07:00:00,37.60418995285413
 01/23  08:00:00,56.33206281789195
 01/23  09:00:00,115.79703323481169
 01/23  10:00:00,114.23131268483563
 01/23  11:00:00,112.07174296466593
 01/23  12:00:00,111.01130006953964
 01/23  13:00:00,101.80946307308116
 01/23  14:00:00,106.15584245166136
 01/23  15:00:00,96.6192546407963
 01/23  16:00:00,93.64709520274877
 01/23  17:00:00,96.4760772281288
 01/23  18:00:00,68.53606537147189
 01/23  19:00:00,43.0850653014932
 01/23  20:00:00,37.36027230723179
 01/23  21:00:00,33.3412166197099
 01/23  22:00:00,31.385023713152748
 01/23  23:00:00,21.603550764090535
 01/23  24:00:00,20.122908155790526
 01/24  01:00:00,16.163712511941814
 01/24  02:00:00,16.002738920482273
 01/24  03:00:00,16.002738920482273
 01/24  04:00:00,16.002738920482273
 01/24  05:00:00,16.002738920482273
 01/24  06:00:00,16.002738920482273
 01/24  07:00:00,26.91780796907761
 01/24  08:00:00,40.768341994910884
 01/24  09:00:00,87.65422847541424
 01/24  10:00:00,75.63179895098662
 01/24  11:00:00,73.82173996886496
 01/24  12:00:00,77.44650375358522
 01/24  13:00:00,79.29567789231203
 01/24  14:00:00,81.7247853556251
 01/24  15:00:00,77.92483751941616
 01/24  16:00:00,77.7639041098979
 01/24  17:00:00,81.95649684625917
 01/24  18:00:00,60.598978381824
 01/24  19:00:00,37.57064761911894
 01/24  20:00:00,32.16288255758349
 01/24  21:00:00,29.682326382632482
 01/24  22:00:00,28.953026358157697
 01/24  23:00:00,21.603550764090535
 01/24  24:00:00,20.122908155790526
 01/25  01:00:00,16.163712511941814
 01/25  02:00:00,16.002738920482273
 01/25  03:00:00,16.002738920482273
 01/25  04:00:00,16.002738920482273
 01/25  05:00:00,16.002738920482273
 01/25  06:00:00,16.002738920482273
 01/25  07:00:00,27.680898903648767
 01/25  08:00:00,42.882531141531594
 01/25  09:00:00,87.53651096847379
 01/25  10:00:00,78.68716092193951
 01/25  11:00:00,79.2697252559388
 01/25  12:00:00,86.38541133220497
 01/25  13:00:00,87.35853631318881
 01/25  14:00:00,92.01143664109041
 01/25  15:00:00,88.72484808866292
 01/25  16:00:00,87.97817437284247
 01/25  17:00:00,89.94184334383829
 01/25  18:00:00,66.81928819266629
 01/25  19:00:00,43.54811401123062
 01/25  20:00:00,38.40480561455232
 01/25  21:00:00,35.24103848722634
 01/25  22:00:00,33.57265329123562
 01/25  23:00:00,21.603550764090535
 01/25  24:00:00,20.122908155790526
 01/26  01:00:00,16.163712511941814
 01/26  02:00:00,16.002738920482273
 01/26  03:00:00,16.002738920482273
 01/26  04:00:00,16.002738920482273
 01/26  05:00:00,16.002738920482273
 01/26  06:00:00,16.002738920482273
 01/26  07:00:00,30.010407948881532
 01/26  08:00:00,44.11423833182054
 01/26  09:00:00,92.29458452820536
 01/26  10:00:00,84.37395806217974
 01/26  11:00:00,84.40865014887098
 01/26  12:00:00,88.67329665505429
 01/26  13:00:00,88.33651999144787
 01/26  14:00:00,90.947173589048
 01/26  15:00:00,84.8317596385025
